rank,position,player,team,Experience,votes,OPOY,DPOY,share,games,starts,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,def_tackles,def_sacks,def_int,def_td,total_td
,RB,Adrian Peterson,Minnesota Vikings,8,0,No,No,0,16,16,0,0,0,0,0,327,1485,11,30,222,0,0,0,0,0,11
,DE,J.J. Watt,Houston Texans,4,0,No,Yes,0,16,16,0,0,0,0,0,0,0,0,0,0,0,66.5,17.5,0,0,0
,DT,Aaron Donald,St. Louis Rams,1,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,56.5,11,0,0,0
,MLB,Luke Kuechly,Carolina Panthers,3,0,No,No,0,13,13,0,0,0,0,0,0,0,0,0,0,0,97,1,4,1,1
,CB,Josh Norman,Carolina Panthers,3,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,52,0,4,2,2
1,QB,Matt Ryan,Atlanta Falcons,8,25,Yes,No,0.5,16,16,373,534,4944,38,7,35,117,0,0,0,0,0,0,0,0,38
2,QB,Tom Brady,New England Patriots,16,10,No,No,0.2,12,12,291,432,3554,28,2,28,64,0,0,0,0,0,0,0,0,28
3,QB,Derek Carr,Oakland Raiders,2,6,No,No,0.12,15,15,357,560,3937,28,6,39,70,0,0,0,0,0,0,0,0,28
4,RB,Ezekiel Elliott,Dallas Cowboys,0,6,No,No,0.12,15,15,0,0,0,0,0,322,1631,15,32,363,1,0,0,0,0,16
5,QB,Aaron Rodgers,Green Bay Packers,11,2,No,No,0.04,16,16,401,610,4428,40,7,67,369,4,0,0,0,0,0,0,0,44
6,QB,Dak Prescott,Dallas Cowboys,0,1,No,No,0.02,16,16,311,459,3667,23,4,57,282,6,0,0,0,0,0,0,0,29
,RB,David Johnson,Arizona Cardinals,1,0,No,No,0,16,16,0,0,0,0,0,293,1239,16,80,879,4,0,0,0,0,20
,RB,Le'Veon Bell,Pittsburgh Steelers,3,0,No,No,0,12,12,0,1,0,0,0,261,1268,7,75,616,2,0,0,0,0,9
,QB,Drew Brees,New Orleans Saints,15,0,No,No,0,16,16,471,673,5208,37,15,23,20,2,0,0,0,0,0,0,0,39
,DE,Khalil Mack,Oakland Raiders,2,0,No,Yes,0,16,16,0,0,0,0,0,0,0,0,0,0,0,63.5,11,1,1,1
